processing,Li_average,Hf_average,Ti_average,Pb_average,Sb_average,Bi_average,Al_average,Sn_average,Ni_average,Mn_average,Mg_average,Cr_average,Si_average,Cu_average,Zn_average,Fe_average,O_average,Ag_average,P_average,Se_average,Co_average,Be_average,Zr_average,S_average,Te_average,C_average,As_average,Other_average,Nb_average,Cd_average,B_average,thermal_conductivity_average_W
2,0,0,0,2.25,0.25,0,0.005,2.75,1.375,0,0,0,0.005,88,6.5,0.275,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,5,0.25,0,0.005,5,1,0,0,0,0.005,85,5,0.3,0,0,0.05,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,5,0.25,0,0.005,5,0.9,0,0,0,0.005,85,5,0.275,0,0,0.765,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,5,0.25,0,0.005,5,1,0,0,0,0.005,74.839983,5,0.3,0,0,0.05,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,5.75,0.5,0,0.005,6,0.4,0,0,0,0.005,83,0.8,0.225,0,0,0.1,0,0,0,0,0.08,0,0,0.125,0,0,0,0,116
2,0,0,0,6,0.25,0,0.005,3.75,0.9,0,0,0,0.005,82.9,6.5,0.275,0,0,0.76,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,5,0,0.1,0.005,2.75,2,0,0,0,0,72.674983,8.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,5,0,0,0.005,2.75,2,0,0,0,0.01,72.964983,8.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,2.5,0.25,0,0.005,5,0.8,0,0,0,0.005,80,13,0.375,0,0,0.76,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,7,0.25,0,0.005,2.9,0.9,0,0,0,0.005,80,8.5,0.375,0,0,0.76,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,8,0,0.05,0.01,3.75,1,0,0,0,0.2,69.519983,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,6.25,0.25,0,0.005,2.5,0.9,0,0,0,0.005,76,15,0.375,0,0,0.76,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,2.65,0.2,0,0.005,1.35,0.9,0,0,0,0.05,72,23.5,0.55,0,0,0.015,0,0,0,0,0.05,0,0,0,0,0,0,0,116
2,0,0,0,3.5,0,0,0.005,2,1,0,0,0,0.005,72.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,116
2,0,0,0,2.65,0,0,0.35,1,1,0,0,0,0.05,67.5,28,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,2.65,0,0,0.1775,1,0.9,0,0,0,0.05,67.5,28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1.15,0,0,0.675,1,0.9,0,0,0,0.05,61,36,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1.75,0,0,0.5,1,1,0.5,0,0,0.05,60.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1.75,0,0,0.5,1,1,0.5,0,0,0.05,60.5,35.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1.5,0.05,0,0.525,1.5,0.5,0.25,0,0,0.25,57,36,0.5,0,0,0.01,0,0,0,0,0.05,0,0,0.05,0,0,0,0,116
2,0,0,0,0.1,0,0,5,0.1,0,3.75,0,0,0,67,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.15,0,0,3.95,0.15,0.9,3.75,0,0,0,63,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.2,0,0,6.25,0.2,1,3.75,0,0,0,63,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.15,0,0,6.25,0.15,0.9,3.75,0,0,0,63,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1,0,0,1,1,0.9,0.55,0,0,0,59,38,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.4,0,0,1,1,1,0,0,0,0,57.5,39,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.35,0,0,1,1,0.9,0.8,0,0,0,57.5,39,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1,0,0,2,1.5,0.9,2.25,0,0,0,57.5,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.145,0,0,0,0,0,1.15,0,0,4.25,94,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,1,0,0,0.8,0,0,0,0,0,3.25,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.295,0,0,0.5,0,0,0,0,0,4,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.295,0,0,0,0,0,0.25,0,0,4.5,88,5.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0.145,0,0,0,0,0,0.25,0,0,4,90,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2,0,0,0,0,0.05,0,0.15,0.25,0.2,0.15,0.01,0,4,80,14,0.15,0,0,0.01,0,0,0,0,0.05,0,0,0.05,0,0,0,0,116
2,0,0,0,0.12,0.05,0,0.15,0.25,0.2,0.15,0.01,0,4,80,14,0.15,0,0,0.01,0,0,0,0,0.05,0,0,0.05,0,0,0,0,116
2,0,0,0,0.25,0.05,0,0.15,0.25,0.5,0.15,0,0,1,83,33,0.4,0,0,0.01,0,0,0,0,0.05,0,0,0.05,0,0,0,0,116
2,0,0,0,0.09,0.35,5,0.005,6,1,0,0,0,0.005,89,1,0.2,0,0,0.3,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,0.17,0.25,1,0.005,5,1,0,0,0,0.005,87,5,0.225,0,0,0.05,0.55,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,0.17,0.25,1.9,0.005,5.5,1,0,0,0,0.005,86,5,0.2,0,0,0.05,0.95,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,0.2,0.25,3,0.005,4,1,0,0,0,0.005,84.5,8.5,0.4,0,0,0.05,0,0,0,0,0.08,0,0,0,0,0,0,0,116
2,0,0,0,0.275,0.2,0,0.005,10.5,0.45,0.1,0,0,0.005,90,0.275,0.175,0,0,0.625,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.275,0.2,0,0.005,8.25,0.9,0,0,0,0.005,87.5,4,0.175,0,0,0.765,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.275,0.2,0,0.005,10,0.9,0,0,0,0.005,87.5,2,0.175,0,0,0.765,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.5,0.15,0,0.005,11,0.5,0,0,0,0.005,89,0.5,0.15,0,0,0.775,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.2,0,0,11,0.1,0,0,0,0.005,87.3949825,0.05,0.1,0,0,0.85,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.15,0,0.005,12,0.5,0,0,0,0.005,87,0.25,0.15,0,0,0.3,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.2,0,0.005,12,0.5,0,0,0,0.005,81.1399825,0.3,5.075,0,0,0.475,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.2,0.15,0,0.005,15,0.8,0,0,0,0.005,43,1.5,0.1,0,0,0.765,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.2,0,0.005,16,0.5,0,0,0,0.005,83.5,0.25,0.175,0,0,1,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
